"Name","Total Time","Total Time (CPU)","Invocations"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.doCommand (prompt.util.PathContainer, String)","0,132 ms (-0 %)","0,133 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cat.doCommand (prompt.util.PathContainer, String)","0,126 ms (-0 %)","0,127 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cd.doCommand (prompt.util.PathContainer, String)","0,121 ms (-0 %)","0,122 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.addToHistory (String)","0,100 ms (-0 %)","0,101 ms (-0 %)","8"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" profiler.profilerTest.<init> ()","0,090 ms (-0 %)","0,035 ms (-0 %)","1"
"  profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.<clinit> ()","0,084 ms (-0 %)","0,084 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.History.<init> (prompt.CommandPrompt)","0,057 ms (-0 %)","0,057 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Append.<init> (prompt.CommandPrompt)","0,036 ms (-0 %)","0,035 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.shouldBeAddedToHistory ()","0,033 ms (-0 %)","0,032 ms (-0 %)","8"
